43 Teams
18 Quizzes
1 Rooms
258 Rounds

  1  2  3  
  4  5  6  
  7  8  9  
 10 11 12  
 13 14 15  
 16 17 18  
 19 20 21  
 22 23 24  
 25 26 27  
 28 29 30  
 31 32 33  
 34 35 36  
 37 38 39  
  8 12 19  
  8 29 43  
 20  1 13  
 43 13 25  
 11 43 22  
 27  4 30  
 10 33 34  
 15 38 16  
 12 33 24  
 32 10 24  
 10  4 22  
 34 20 39  
  1 31 40  
  6  7 26  
 17 14 29  
  8 13  4  
 17 11 24  
  9 30  2  
 34 18 24  
 17  6 42  
 16 32 23  
 38 35  2  
 26 43 35  
 34  9 40  
 18 42  7  
 15 39 25  
 41 23 10  
 36 21 12  
 31 43 15  
  2 20  5  
  1 25  7  
 42 39  3  
 28  9 43  
 43 38 36  
 43  7  5  
 28 14 38  
 20 15 42  
 37 35 16  
 24  5 35  
 23 30 19  
  8 11 25  
  7 14 33  
 21 13 32  
 18  4 28  
 23 21 34  
 42 36 33  
 32 38 25  
  6 32 22  
 33  9  1  
  5 31 36  
 14 26  1  
 42 25  4  
 22 29 21  
 27 32  8  
 40 29 33  
  7 23 39  
  7 36  4  
 36 18 14  
 10 27 17  
 38 11 31  
  5 22 33  
 37 10 14  
  3 21 17  
  4 32 40  
 43 30 10  
  9 17 36  
 19 33 38  
 21 14 27  
  7 10  2  
 27 33 28  
  4 29 19  
 25 41 31  
 12 22 15  
 16 11 39  
  6 38 40  
 40 19 16  
 15 28 40  
  4 21 24  
 10  5 15  
  4  2 39  
 16  8 20  
 32 20 18  
 31 34 26  
 35 39 41  
 40 21  7  
 26  3 19  
 23 28 35  
  8 41 22  
 26 29  9  
 37  9 20  
 34 12 27  
 11 23 36  
 12 38  9  
 41 20 29  
 39 14 40  
 13 27 42  
  6 41 14  
 30 20 31  
  4 16  9  
 31 18 27  
  1 39 24  
 40 22 17  
 24 41  9  
 43 20 24  
  1 21  8  
  6 10 16  
  3 33 43  
 12 17 25  
 16 28 25  
 35 20 12  
 23 17 20  
  3 10 18  
 12 39 28  
  2 27 36  
 25  2 37  
 12 31  6  
  3 30 25  
 40  8 35  
 41 43 17  
 25 22 34  
 14 25 24  
  7 17 34  
 30  7 41  
 11 14  5  
 43 32 12  
  5 29 34  
 29 32 11  
 28 41 36  
 26 11 41  
  3 35 14  
 17 33 39  
  9 39 31  
 36 15 30  
  6 35 13  
 16 34  3  
 23 33  8  
  6 21 43  
 16 30 42  
 38 18 22  
 19 34 11  
 11 37 15  
 39 19 36  
  1 34 15  
 33 25 18  
 21 39  5  
 27 15  3  
 12 26 42  
  4 14 20  
 22 19 42  
 17  5  8  
  5  3 38  
  1 36 16  
 42 37 34  
 27 19 41  
 30 38  1  
 31 28  7  
 35 33 30  
 37  8 24  
  3 32  9  
 32  7 37  
  2 16 12  
 29 39 13  
 34 30  6  
 42  1 28  
 26 22 16  
 37  4  3  
 26  2 24  
 25 23  6  
 41 21 18  
 16 29 27  
 29 12 23  
 14 30  8  
 41 40 42  
  5 32 30  
 43 34 14  
 25 10 21  
 18  9 13  
 29 37 36  
 23 26  5  
 42 35 32  
 13 38  7  
 28  6 24  
  1 37 43  
 38 23 27  
 20 10 28  
 26  4 33  
 26 38 20  
 11  7 27  
 10 36  8  
 31 24 29  
 13 16  5  
 34 41 38  
 21 28 11  
 17 38  4  
 19 25  5  
 18 23 43  
  2 18 19  
 41 13 33  
 13 19 10  
 39 18  6  
 31 42  8  
 33 37 21  
 20  6 11  
  6 29  2  
 19 28 37  
 13  2 11  
 40 24 36  
 15 23  2  
  1 27  6  
 40 12 18  
 22  3 20  
 17 19  1  
 23 31  3  
 11 30 40  
  2 32 14  
 31 14 16  
 24  7  3  
 29 18  1  
 41 37 12  
 40 43  2  
  9 42 11  
 42 21  2  
  9  5 27  
 15  8 26  
 22 27 39  
 35 19  7  
  4 35 31  
 28  2 17  
 12  5  1  
 23 40 37  
 15 21  9  
 10 35  9  
 37 22 31  
 32 26 36  
 13 30 24  
  8  3  6  
 42 10 29  
 35 22  1  
 15 35 18  
 13 28 22  
 37 30 26  
 13  3 40  
 13 26 17  
  4 41 15  
 15 19 32  
